#Solução sedimentação esfera - Runge Kutta 4 ordem 
#t    vRK4    vExato    erTrue[%] 
4.25 0.999797 0.999797 2.34505e-10
4.26 0.999801 0.999801 2.30395e-10
4.27 0.999805 0.999805 2.26363e-10
4.28 0.999808 0.999808 2.22409e-10
4.29 0.999812 0.999812 2.18511e-10
4.3 0.999816 0.999816 2.14679e-10
4.31 0.99982 0.99982 2.10914e-10
4.32 0.999823 0.999823 2.07215e-10
4.33 0.999827 0.999827 2.03584e-10
4.34 0.99983 0.99983 2.00007e-10
4.35 0.999833 0.999833 1.96509e-10
4.36 0.999837 0.999837 1.93055e-10
4.37 0.99984 0.99984 1.89668e-10
4.38 0.999843 0.999843 1.86336e-10
4.39 0.999846 0.999846 1.8306e-10
4.4 0.999849 0.999849 1.79839e-10
4.41 0.999852 0.999852 1.76685e-10
4.42 0.999855 0.999855 1.73575e-10
4.43 0.999858 0.999858 1.70521e-10
4.44 0.999861 0.999861 1.67523e-10
4.45 0.999864 0.999864 1.6458e-10
4.46 0.999866 0.999866 1.61681e-10
4.47 0.999869 0.999869 1.58838e-10
4.48 0.999872 0.999872 1.5604e-10
4.49 0.999874 0.999874 1.53297e-10
4.5 0.999877 0.999877 1.50598e-10
4.51 0.999879 0.999879 1.47944e-10
4.52 0.999881 0.999881 1.45334e-10
4.53 0.999884 0.999884 1.4278e-10
4.54 0.999886 0.999886 1.40259e-10
4.55 0.999888 0.999888 1.37794e-10
4.56 0.999891 0.999891 1.35362e-10
4.57 0.999893 0.999893 1.32963e-10
4.58 0.999895 0.999895 1.3062e-10
4.59 0.999897 0.999897 1.28311e-10
4.6 0.999899 0.999899 1.26034e-10
4.61 0.999901 0.999901 1.23813e-10
4.62 0.999903 0.999903 1.21615e-10
4.63 0.999905 0.999905 1.19471e-10
4.64 0.999907 0.999907 1.17362e-10
4.65 0.999909 0.999909 1.15274e-10
4.66 0.99991 0.99991 1.13242e-10
4.67 0.999912 0.999912 1.11243e-10
4.68 0.999914 0.999914 1.09266e-10
4.69 0.999916 0.999916 1.07334e-10
4.7 0.999917 0.999917 1.05436e-10
4.71 0.999919 0.999919 1.0357e-10
4.72 0.999921 0.999921 1.01727e-10
4.73 0.999922 0.999922 9.99168e-11
4.74 0.999924 0.999924 9.81401e-11
4.75 0.999925 0.999925 9.63968e-11
4.76 0.999927 0.999927 9.46868e-11
4.77 0.999928 0.999928 9.30212e-11
4.78 0.99993 0.99993 9.13667e-11
4.79 0.999931 0.999931 8.97455e-11
4.8 0.999932 0.999932 8.81466e-11
4.81 0.999934 0.999934 8.65809e-11
4.82 0.999935 0.999935 8.50375e-11
4.83 0.999936 0.999936 8.35274e-11
4.84 0.999937 0.999937 8.20395e-11
4.85 0.999939 0.999939 8.05849e-11
4.86 0.99994 0.99994 7.91526e-11
4.87 0.999941 0.999941 7.77424e-11
4.88 0.999942 0.999942 7.63544e-11
4.89 0.999943 0.999943 7.49998e-11
4.9 0.999945 0.999945 7.36674e-11
4.91 0.999946 0.999946 7.23572e-11
4.92 0.999947 0.999947 7.10581e-11
4.93 0.999948 0.999948 6.98034e-11
4.94 0.999949 0.999949 6.85598e-11
4.95 0.99995 0.99995 6.73384e-11
4.96 0.999951 0.999951 6.61281e-11
4.97 0.999952 0.999952 6.49512e-11
4.98 0.999953 0.999953 6.37964e-11
4.99 0.999954 0.999954 6.26528e-11
5 0.999955 0.999955 6.15314e-11
